ID;name;description;short_description;UGS;regular_price;weight;tax:product_cat;stock;tax_status 
3;16 cartes postales Paris;;;'03506;4.5;0.00;Cartes;25;taxable 
15;Aimants Magnetic Poetry anglais;<p>Plus de 300 aimants-mots en anglais pour écrire des mots doux sur votre frigo dans la langue de Shakespeare… <br>Chaque aimants mesure envrion 9 mm de hauteur.</p>;<p>Plus de 300 aimants-mots en anglais pour écrire des mots doux sur votre frigo dans la langue de Shakespeare… <br>Chaque aimants mesure envrion 9 mm de hauteur.</p>;'01086;13.0002;0.22;Magnets;71;taxable 
21;Album 9 mois mille aventures;;;'03400;14.5002;0.00;Puériculture;64;taxable 
25;Animal lotto;;;'03948;8.7498;0.00;Jouets;84;taxable 
27;Appareil photo instantané Fuji bleu;<p>Léger et compact, l'élégant Instax Mini 8 vous accompagnera partout !<br> Le fonctionnement est simple <br> - il suffit de positionner l'indicateur d'exposition à DEL et d'appuyer sur le déclencheur, une photo couleur instantanée, de la taille d'une carte de crédit, est prêt en quelques minutes <br> - claire et nette ! <br>Film : Fujifilm Couleur instantanée «Instax Mini» (à acheter séparemment) <br>Taille de l’image : 62 mm x 46 mm <br>Objectif : 2 composants, 2 éléments, f=60mm, 1:12.7 <br>Viseur : visualisation de l’image réelle 0,37x avec repère de visée <br>Mise au point : de 60 cm à l’infini <br>Contrôle de l’exposition : système de commutation manuel (LED dans l’indicateur d’exposition) <br>Flash : Actif en continu (ajustement automatique de la lumière) <br>Temps de charge: de 2 à 6 sec. (avec des piles neuves) <br>Couverture : de 60 cm à 2,7 m <br>Alimentation : 2 piles alcalines LR6 - AA de 1,5 V <br>Capacité : 10 packs de 10 vues <br>Dimensions & Poids : 116mm x 118,3mm x 68,2mm / 307 g (sans pile, ni dragonne)</p>;<p>Léger et compact, l'élégant Instax Mini 8 vous accompagnera partout !<br> Le fonctionnement est simple <br> - il suffit de positionner l'indicateur d'exposition à DEL et d'appuyer sur le déclencheur, une photo couleur instantanée, de la taille d'une carte de crédit, est prêt en quelques minutes <br> - claire et nette ! <br>Film : Fujifilm Couleur instantanée «Instax Mini» (à acheter séparemment) <br>Taille de l’image : 62 mm x 46 mm <br>Objectif : 2 composants, 2 éléments, f=60mm, 1:12.7 <br>Viseur : visualisation de l’image réelle 0,37x avec repère de visée <br>Mise au point : de 60 cm à l’infini <br>Contrôle de l’exposition : système de commutation manuel (LED dans l’indicateur d’exposition) <br>Flash : Actif en continu (ajustement automatique de la lumière) <br>Temps de charge: de 2 à 6 sec. (avec des piles neuves) <br>Couverture : de 60 cm à 2,7 m <br>Alimentation : 2 piles alcalines LR6 - AA de 1,5 V <br>Capacité : 10 packs de 10 vues <br>Dimensions & Poids : 116mm x 118,3mm x 68,2mm / 307 g (sans pile, ni dragonne)</p>;'00710;49.5;0.43;Photo;37;taxable 
28;Appareil photo instantané Fuji framboise;<p>Léger et compact, l'élégant Instax Mini 8 vous accompagnera partout !<br> Le fonctionnement est simple <br> - il suffit de positionner l'indicateur d'exposition à DEL et d'appuyer sur le déclencheur, une photo couleur instantanée, de la taille d'une carte de crédit, est prêt en quelques minutes <br> - claire et nette ! <br>Film : Fujifilm Couleur instantanée «Instax Mini» (à acheter séparemment) <br>Taille de l’image : 62 mm x 46 mm <br>Objectif : 2 composants, 2 éléments, f=60mm, 1:12.7 <br>Viseur : visualisation de l’image réelle 0,37x avec repère de visée <br>Mise au point : de 60 cm à l’infini <br>Contrôle de l’exposition : système de commutation manuel (LED dans l’indicateur d’exposition) <br>Flash : Actif en continu (ajustement automatique de la lumière) <br>Temps de charge: de 2 à 6 sec. (avec des piles neuves) <br>Couverture : de 60 cm à 2,7 m <br>Alimentation : 2 piles alcalines LR6 - AA de 1,5 V <br>Capacité : 10 packs de 10 vues <br>Dimensions & Poids : 116mm x 118,3mm x 68,2mm / 307 g (sans pile, ni dragonne)</p>;<p>Léger et compact, l'élégant Instax Mini 8 vous accompagnera partout !<br> Le fonctionnement est simple <br> - il suffit de positionner l'indicateur d'exposition à DEL et d'appuyer sur le déclencheur, une photo couleur instantanée, de la taille d'une carte de crédit, est prêt en quelques minutes <br> - claire et nette ! <br>Film : Fujifilm Couleur instantanée «Instax Mini» (à acheter séparemment) <br>Taille de l’image : 62 mm x 46 mm <br>Objectif : 2 composants, 2 éléments, f=60mm, 1:12.7 <br>Viseur : visualisation de l’image réelle 0,37x avec repère de visée <br>Mise au point : de 60 cm à l’infini <br>Contrôle de l’exposition : système de commutation manuel (LED dans l’indicateur d’exposition) <br>Flash : Actif en continu (ajustement automatique de la lumière) <br>Temps de charge: de 2 à 6 sec. (avec des piles neuves) <br>Couverture : de 60 cm à 2,7 m <br>Alimentation : 2 piles alcalines LR6 - AA de 1,5 V <br>Capacité : 10 packs de 10 vues <br>Dimensions & Poids : 116mm x 118,3mm x 68,2mm / 307 g (sans pile, ni dragonne)</p>;'02834;49.5;0.43;Photo;11;taxable 
29;Appareil photo instantané Fuji noir;<p>Léger et compact, l'élégant Instax Mini 8 vous accompagnera partout !<br> Le fonctionnement est simple <br> - il suffit de positionner l'indicateur d'exposition à DEL et d'appuyer sur le déclencheur, une photo couleur instantanée, de la taille d'une carte de crédit, est prêt en quelques minutes <br> - claire et nette ! <br>Film : Fujifilm Couleur instantanée «Instax Mini» (à acheter séparemment) <br>Taille de l’image : 62 mm x 46 mm <br>Objectif : 2 composants, 2 éléments, f=60mm, 1:12.7 <br>Viseur : visualisation de l’image réelle 0,37x avec repère de visée <br>Mise au point : de 60 cm à l’infini <br>Contrôle de l’exposition : système de commutation manuel (LED dans l’indicateur d’exposition) <br>Flash : Actif en continu (ajustement automatique de la lumière) <br>Temps de charge: de 2 à 6 sec. (avec des piles neuves) <br>Couverture : de 60 cm à 2,7 m <br>Alimentation : 2 piles alcalines LR6 - AA de 1,5 V <br>Capacité : 10 packs de 10 vues <br>Dimensions & Poids : 116mm x 118,3mm x 68,2mm / 307 g (sans pile, ni dragonne)</p>;<p>Léger et compact, l'élégant Instax Mini 8 vous accompagnera partout !<br> Le fonctionnement est simple <br> - il suffit de positionner l'indicateur d'exposition à DEL et d'appuyer sur le déclencheur, une photo couleur instantanée, de la taille d'une carte de crédit, est prêt en quelques minutes <br> - claire et nette ! <br>Film : Fujifilm Couleur instantanée «Instax Mini» (à acheter séparemment) <br>Taille de l’image : 62 mm x 46 mm <br>Objectif : 2 composants, 2 éléments, f=60mm, 1:12.7 <br>Viseur : visualisation de l’image réelle 0,37x avec repère de visée <br>Mise au point : de 60 cm à l’infini <br>Contrôle de l’exposition : système de commutation manuel (LED dans l’indicateur d’exposition) <br>Flash : Actif en continu (ajustement automatique de la lumière) <br>Temps de charge: de 2 à 6 sec. (avec des piles neuves) <br>Couverture : de 60 cm à 2,7 m <br>Alimentation : 2 piles alcalines LR6 - AA de 1,5 V <br>Capacité : 10 packs de 10 vues <br>Dimensions & Poids : 116mm x 118,3mm x 68,2mm / 307 g (sans pile, ni dragonne)</p>;'00708;49.5;0.43;Photo;78;taxable 
37;Assiette carton BISOUS;;;'03872;2.4498;0.00;Vaisselle de fête;8;taxable 
44;Assiette lapin;<p>Parfaite pour le repas des petits, une assiette en mélamine décorée d'un dessin de l'illustratrice suédoise Ingela p.Arrhenius. <br>Diamètre 20 cm.</p>;<p>Parfaite pour le repas des petits, une assiette en mélamine décorée d'un dessin de l'illustratrice suédoise Ingela p.Arrhenius. <br>Diamètre 20 cm.</p>;'00769;4.2498;0.11;Vaisselle enfants;92;taxable 
45;Assiette lion;<p>Parfaite pour le repas des petits, une assiette en mélamine décorée d'un dessin de l'illustratrice suédoise Ingela p.Arrhenius. <br>Diamètre 20 cm.</p>;<p>Parfaite pour le repas des petits, une assiette en mélamine décorée d'un dessin de l'illustratrice suédoise Ingela p.Arrhenius. <br>Diamètre 20 cm.</p>;'01281;4.2498;0.12;Vaisselle enfants;49;taxable 
